GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG,SECONDS_REMAINING
0042300314,614,4,0,4,10:57 PM,3:14,,,Edwards REBOUND (Off:1 Def:8),,,5.0,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,194
0042300314,615,1,1,4,10:57 PM,2:54,,,Towns 25' 3PT Jump Shot (25 PTS) (Edwards 9 AST),98 - 92,-6,5.0,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,5,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1,174
0042300314,617,5,40,4,10:58 PM,2:36,Washington Out of Bounds Lost Ball Turnover (P1.T13),,,,,4.0,1629023,P.J. Washington,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,0,,,,,,1,156
0042300314,618,8,0,4,10:58 PM,2:36,,,SUB: Conley FOR Anderson,,,5.0,203937,Kyle Anderson,1610612750.0,Minnesota,Timberwolves,MIN,5,201144,Mike Conley,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,156
0042300314,620,2,80,4,10:58 PM,2:22,Washington BLOCK (1 BLK),,MISS Towns 25' 3PT Step Back Jump Shot,,,5.0,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,4,1629023,P.J. Washington,1610612742.0,Dallas,Mavericks,DAL,1,142
0042300314,622,4,0,4,10:58 PM,2:18,Doncic REBOUND (Off:1 Def:12),,,,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,138
0042300314,623,2,1,4,10:58 PM,2:13,MISS Jones Jr. 3PT Jump Shot,,,,,4.0,1627884,Derrick Jones Jr.,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,133
0042300314,624,4,0,4,10:58 PM,2:10,,,Edwards REBOUND (Off:1 Def:9),,,5.0,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,130
0042300314,625,1,85,4,10:59 PM,1:47,,,Edwards 8' Turnaround Bank Shot (27 PTS),100 - 92,-8,5.0,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,107
0042300314,626,6,2,4,10:59 PM,1:38,,,Towns S.FOUL (P6.T3) (S.Foster),,,5.0,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,4,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,1,98
0042300314,628,8,0,4,10:59 PM,1:38,,,SUB: Anderson FOR Towns,,,5.0,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,5,203937,Kyle Anderson,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,98
0042300314,630,3,13,4,11:00 PM,1:38,Doncic Free Throw 1 of 3 (23 PTS),,,100 - 93,-7,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,98
0042300314,631,3,14,4,11:00 PM,1:38,Doncic Free Throw 2 of 3 (24 PTS),,,100 - 94,-6,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,98
0042300314,632,3,15,4,11:01 PM,1:38,Doncic Free Throw 3 of 3 (25 PTS),,,100 - 95,-5,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,98
0042300314,634,2,63,4,11:01 PM,1:25,,,MISS Edwards 19' Fadeaway Jumper,,,5.0,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,85
0042300314,635,4,0,4,11:01 PM,1:23,Doncic REBOUND (Off:1 Def:13),,,,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,83
0042300314,636,2,1,4,11:01 PM,1:07,MISS Washington 28' 3PT Jump Shot,,,,,4.0,1629023,P.J. Washington,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,67
0042300314,637,4,0,4,11:01 PM,1:04,Irving REBOUND (Off:2 Def:0),,,,,4.0,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,64
0042300314,638,1,101,4,11:01 PM,1:02,Irving 6' Driving Floating Jump Shot (16 PTS),,,100 - 97,-3,4.0,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,62
0042300314,639,1,79,4,11:02 PM,0:39,,,Edwards 22' Pullup Jump Shot (29 PTS),102 - 97,-5,5.0,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,39
0042300314,640,9,1,4,11:02 PM,0:38,MAVERICKS Timeout: Regular (Full 5 Short 0),,,,,2.0,1610612742,,,,,,0,0,,,,,,0,0,,,,,,0,38
0042300314,641,5,1,4,11:04 PM,0:32,Irving Bad Pass Turnover (P4.T14),,Anderson STEAL (3 STL),,,4.0,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,5,203937,Kyle Anderson,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1,32
0042300314,643,6,1,4,11:04 PM,0:20,Gafford P.FOUL (P3.PN) (E.Malloy),,,,,4.0,1629655,Daniel Gafford,1610612742.0,Dallas,Mavericks,DAL,5,201144,Mike Conley,1610612750.0,Minnesota,Timberwolves,MIN,1,0,,,,,,1,20
0042300314,645,3,11,4,11:05 PM,0:20,,,Conley Free Throw 1 of 2 (14 PTS),103 - 97,-6,5.0,201144,Mike Conley,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,20
0042300314,646,3,12,4,11:05 PM,0:20,,,MISS Conley Free Throw 2 of 2,,,5.0,201144,Mike Conley,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,20
0042300314,647,4,0,4,11:05 PM,0:18,Gafford REBOUND (Off:2 Def:6),,,,,4.0,1629655,Daniel Gafford,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,18
0042300314,649,1,79,4,11:05 PM,0:13,Doncic 29' 3PT Pullup Jump Shot (28 PTS),,,103 - 100,-3,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,13
0042300314,650,6,2,4,11:05 PM,0:13,,,Edwards S.FOUL (P5.PN) (S.Foster),,,5.0,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,4,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,1,13
0042300314,652,8,0,4,11:05 PM,0:13,SUB: Green FOR Gafford,,,,,4.0,1629655,Daniel Gafford,1610612742.0,Dallas,Mavericks,DAL,4,1630182,Josh Green,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,13
0042300314,654,3,10,4,11:06 PM,0:13,MISS Doncic Free Throw 1 of 1,,,,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,13
0042300314,655,4,0,4,11:06 PM,0:12,,,Gobert REBOUND (Off:0 Def:10),,,5.0,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,12
0042300314,656,9,1,4,11:06 PM,0:12,,,Timberwolves Timeout: Regular (Reg.6 Short 0),,,3.0,1610612750,,,,,,0,0,,,,,,0,0,,,,,,0,12
0042300314,657,8,0,4,11:07 PM,0:12,,,SUB: Reid FOR Gobert,,,5.0,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,5,1629675,Naz Reid,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,12
0042300314,659,1,98,4,11:08 PM,0:11,,,Reid 3' Cutting Layup Shot (6 PTS) (Anderson 4 AST),105 - 100,-5,5.0,1629675,Naz Reid,1610612750.0,Minnesota,Timberwolves,MIN,5,203937,Kyle Anderson,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1,11
0042300314,661,9,1,4,11:08 PM,0:11,MAVERICKS Timeout: Regular (Full 6 Short 0),,,,,2.0,1610612742,,,,,,0,0,,,,,,0,0,,,,,,0,11
0042300314,662,8,0,4,11:08 PM,0:11,SUB: Gafford FOR Green,,,,,4.0,1630182,Josh Green,1610612742.0,Dallas,Mavericks,DAL,4,1629655,Daniel Gafford,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,11
0042300314,664,2,1,4,11:09 PM,0:09,MISS Doncic 25' 3PT Jump Shot,,,,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,9
0042300314,665,4,0,4,11:09 PM,0:07,Washington REBOUND (Off:2 Def:3),,,,,4.0,1629023,P.J. Washington,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,7
0042300314,666,2,1,4,11:09 PM,0:04,MISS Washington 25' 3PT Jump Shot,,,,,4.0,1629023,P.J. Washington,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,4
0042300314,667,4,0,4,11:09 PM,0:01,Doncic REBOUND (Off:2 Def:13),,,,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,1
0042300314,668,2,72,4,11:09 PM,0:00,MISS Doncic 5' Putback Layup,,Reid BLOCK (1 BLK),,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,5,1629675,Naz Reid,1610612750.0,Minnesota,Timberwolves,MIN,1,0
0042300314,670,4,0,4,11:09 PM,0:00,MAVERICKS Rebound,,,,,2.0,1610612742,,,,,,0,0,,,,,,0,0,,,,,,0,0
0042300314,672,18,1,4,11:10 PM,0:00,,Instant Replay4th Period (11:10 PM EST),,105 - 100,-5,0.0,671,Donnie Boyce,,,,,0,0,,,,,,1,0,,,,,,0,0
0042300314,673,13,0,4,11:11 PM,0:00,,End of 4th Period (11:11 PM EST),,105 - 100,-5,0.0,0,,,,,,0,0,,,,,,0,0,,,,,,1,0
